Customer_ID,Age,Monthly_Income_USD,Annual_Appliance_Spend_USD,Purchase_Frequency_Per_Year,Smart_Feature_Interest_1_10,Energy_Saving_Interest_1_10,Preferred_Appliance_Item,Segment_Label
C1001,42,2256,132,3,2,4,Fan,Budget Buyers
C1002,45,2219,466,1,4,3,Electric Kettle,Budget Buyers
C1003,24,2695,239,1,2,7,Mixer Grinder,Budget Buyers
C1004,29,3639,421,3,1,4,Mixer Grinder,Budget Buyers
C1005,32,2938,199,2,3,3,Electric Kettle,Budget Buyers
C1006,34,2196,303,3,3,3,Mixer Grinder,Budget Buyers
C1007,39,2311,592,4,1,7,Iron,Budget Buyers
C1008,42,3281,415,2,1,3,Fan,Budget Buyers
C1009,31,2126,557,2,1,6,Iron,Budget Buyers
C1010,36,3294,203,3,3,4,Iron,Budget Buyers
C1011,44,2092,431,2,2,4,Mixer Grinder,Budget Buyers
C1012,34,2905,593,2,3,3,Fan,Budget Buyers
C1013,23,3092,325,3,1,4,Microwave,Budget Buyers
C1014,44,3088,228,4,4,6,Fan,Budget Buyers
C1015,30,2371,246,3,4,7,Mixer Grinder,Budget Buyers
C1016,33,2698,190,4,1,3,Electric Kettle,Budget Buyers
C1017,26,2455,525,4,1,6,Mixer Grinder,Budget Buyers
C1018,41,3717,390,3,1,3,Microwave,Budget Buyers
C1019,30,3193,177,3,4,4,Mixer Grinder,Budget Buyers
C1020,22,2878,376,2,1,5,Microwave,Budget Buyers
C1021,41,2614,198,3,2,7,Microwave,Budget Buyers
C1022,22,3127,370,1,1,5,Iron,Budget Buyers
C1023,29,2037,243,1,1,6,Electric Kettle,Budget Buyers
C1024,39,2315,185,4,2,5,Microwave,Budget Buyers
C1025,41,3533,228,2,3,6,Iron,Budget Buyers
C1026,36,3919,351,1,2,4,Electric Kettle,Budget Buyers
C1027,32,1886,421,2,2,3,Electric Kettle,Budget Buyers
C1028,44,2041,237,1,1,5,Electric Kettle,Budget Buyers
C1029,38,2774,262,4,2,7,Fan,Budget Buyers
C1030,45,4138,415,4,2,6,Mixer Grinder,Budget Buyers
C1031,34,3386,698,5,5,7,Water Purifier,Family Essentials
C1032,42,6538,610,2,3,7,Microwave,Family Essentials
C1033,31,4018,892,3,6,5,Water Purifier,Family Essentials
C1034,33,4140,1447,3,3,7,Vacuum Cleaner,Family Essentials
C1035,31,3207,530,2,4,5,Water Purifier,Family Essentials
C1036,43,4971,937,5,3,5,Water Purifier,Family Essentials
C1037,28,4599,1043,5,5,7,Vacuum Cleaner,Family Essentials
C1038,49,5942,1496,3,4,6,Washing Machine,Family Essentials
C1039,29,5372,624,4,3,4,Vacuum Cleaner,Family Essentials
C1040,43,5059,1587,3,3,8,Refrigerator,Family Essentials
C1041,33,3280,639,3,6,4,Vacuum Cleaner,Family Essentials
